Name,Pos,Squad,Tackle,Tacklewon,Interceptions,Clearances,Errors
Quincy Owusu-Abeyie,MF,Portsmouth,,,,,
Daniel Pacheco,MF,Liverpool,,,,,
John Paintsil,DF,Fulham,,,,,
Wilson Palacios,MF,Tottenham,,,,,
Scott Parker,MF,West Ham,,,,,
Stuart Parnaby,DF,Birmingham City,,,,,
Martin Petrov,MF,Manchester City,,,,,
Stiliyan Petrov,MF,Aston Villa,,,,,
Steven Pienaar,MF,Everton,,,,,
Danny Pugh,DF,Stoke City,,,,,
Franck Queudrue,DF,Birmingham City,,,,,
Rafael,DF,Manchester Utd,,,,,
Aaron Ramsey,MF,Arsenal,,,,,
Andy Reid,MF,Sunderland,,,,,
Steven Reid,DF,Blackburn,,,,,
Nigel Reo-Coker,MF,Aston Villa,,,,,
Micah Richards,DF,Manchester City,,,,,
Kieran Richardson,DF,Sunderland,,,,,
Sam Ricketts,DF,Bolton,,,,,
Liam Ridgewell,DF,Birmingham City,,,,,
Albert Riera,DF,Liverpool,,,,,
Matt Ritchie,DF,Portsmouth,,,,,
Robinho,MF,Manchester City,,,,,
Jack Robinson,DF,Liverpool,,,,,
Paul Robinson,DF,Bolton,,,,,
Ricardo Rocha,DF,Portsmouth,,,,,
Maxi Rodríguez,MF,Liverpool,,,,,
Jack Rodwell,DF,Everton,,,,,
Wayne Rooney,MF,Manchester Utd,,,,,
Danny Rose,DF,Tottenham,,,,,
Tomáš Rosický,MF,Arsenal,,,,,
Bacary Sagna,DF,Arsenal,,,,,
Míchel Salgado,DF,Blackburn,,,,,
Christopher Samba,DF,Blackburn,,,,,
Jlloyd Samuel,DF,Bolton,,,,,
Tuncay Şanlı,MF,Stoke City,,,,,
Paul Scharner,DF,Wigan Athletic,,,,,
Paul Scholes,MF,Manchester Utd,,,,,
Freddie Sears,MF,West Ham,,,,,
Philippe Senderos,DF,Everton,,,,,
Ryan Shawcross,DF,Stoke City,,,,,
Nicky Shorey,DF,Aston Villa,,,,,
Nicky Shorey,DF,Fulham,,,,,
Steve Sidwell,MF,Aston Villa,,,,,
Paulo da Silva,DF,Sunderland,,,,,
Mikaël Silvestre,DF,Arsenal,,,,,
Scott Sinclair,MF,Wigan Athletic,,,,,
Martin Škrtel,DF,Liverpool,,,,,
Chris Smalling,DF,Fulham,,,,,
Tommy Smith,MF,Portsmouth,,,,,
Alexandre Song,DF,Arsenal,,,,,
Ibrahima Sonko,DF,Hull City,,,,,
Lennard Sowah,DF,Portsmouth,,,,,
Jay Spearing,MF,Liverpool,,,,,
Jonathan Spector,DF,West Ham,,,,,
Jordan Spence,DF,West Ham,,,,,
Junior Stanislas,MF,West Ham,,,,,
Richard Stearman,DF,Wolves,,,,,
Grétar Steinsson,DF,Bolton,,,,,
Fredrik Stoor,DF,Fulham,,,,,
Daniel Sturridge,MF,Chelsea,,,,,
Andrew Surman,MF,Wolves,,,,,
Sylvinho,DF,Manchester City,,,,,
Teemu Tainio,MF,Birmingham City,,,,,
Matthew Taylor,DF,Bolton,,,,,
John Terry,DF,Chelsea,,,,,
Carlos Tevez,MF,Manchester City,,,,,
Hendry Thomas,MF,Wigan Athletic,,,,,
James Tomkins,DF,West Ham,,,,,
Kolo Touré,DF,Manchester City,,,,,
Armand Traoré,DF,Arsenal,,,,,
Michael Turner,DF,Sunderland,,,,,
Michael Turner,DF,Hull City,,,,,
Matt Upson,DF,West Ham,,,,,
John Utaka,MF,Portsmouth,,,,,
Antonio Valencia,DF,Manchester Utd,,,,,
Anthony Vanden Borre,DF,Portsmouth,,,,,
Carlos Vela,MF,Arsenal,,,,,
Thomas Vermaelen,DF,Arsenal,,,,,
Nemanja Vidić,DF,Manchester Utd,,,,,
Patrick Vieira,MF,Manchester City,,,,,
Grégory Vignal,DF,Birmingham City,,,,,
Andriy Voronin,MF,Liverpool,,,,,
Theo Walcott,MF,Arsenal,,,,,
Kyle Walker,DF,Tottenham,,,,,
Danny Ward,MF,Bolton,,,,,
Joel Ward,DF,Portsmouth,,,,,
Stephen Ward,DF,Wolves,,,,,
Stephen Warnock,DF,Aston Villa,,,,,
Stephen Warnock,DF,Blackburn,,,,,
Ben Watson,MF,Wigan Athletic,,,,,
Vladimír Weiss,MF,Bolton,,,,,
Danny Welbeck,MF,Manchester Utd,,,,,
Glenn Whelan,MF,Stoke City,,,,,
Dean Whitehead,DF,Stoke City,,,,,
